nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
sshahine/JFoenix,https://github.com/sshahine/JFoenix,5811,2015-09-08T14:04:24Z,0,Java,2385,false
springside/springside4,https://github.com/springside/springside4,5788,2012-02-23T08:39:03Z,3,Java,3678,false
prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,5768,2015-02-09T22:31:56Z,22,Java,2595,false
ximsfei/Android-skin-support,https://github.com/ximsfei/Android-skin-support,5767,2017-01-12T15:03:54Z,0,Java,1893,false
rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,5764,2010-10-21T08:35:43Z,0,Java,4168,false
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,5755,2010-09-21T11:41:26Z,0,Java,4198,false
Nightonke/BoomMenu,https://github.com/Nightonke/BoomMenu,5755,2016-03-19T12:04:12Z,0,Java,2192,false
weibocom/motan,https://github.com/weibocom/motan,5754,2016-04-20T10:56:17Z,17,Java,2160,false
bytedeco/javacv,https://github.com/bytedeco/javacv,5752,2014-04-21T13:50:26Z,8,Java,2890,false
karatelabs/karate,https://github.com/karatelabs/karate,5743,2017-02-07T15:59:17Z,43,Java,1867,false
wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,5742,2015-03-30T16:19:20Z,0,Java,2547,false
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,5732,2015-04-12T12:44:59Z,54,Java,2534,false
Devlight/InfiniteCycleViewPager,https://github.com/Devlight/InfiniteCycleViewPager,5723,2016-08-22T08:04:39Z,2,Java,2036,false
JakeWharton/u2020,https://github.com/JakeWharton/u2020,5721,2013-11-14T11:58:23Z,0,Java,3048,false
joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,5692,2013-06-22T22:28:53Z,58,Java,3192,false
PaperMC/Paper,https://github.com/PaperMC/Paper,5691,2016-01-22T05:40:19Z,1,Java,2249,false
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,5686,2018-03-20T02:17:48Z,0,Java,1461,false
mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,5669,2012-01-12T11:43:49Z,3,Java,3720,false
YunaiV/onemall,https://github.com/YunaiV/onemall,5667,2019-05-02T16:06:49Z,0,Java,1053,false
twowaits/SDE-Interview-Questions,https://github.com/twowaits/SDE-Interview-Questions,5655,2017-10-25T11:08:52Z,1,Java,1607,false
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,5654,2012-01-05T00:36:34Z,0,Java,3727,false
daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,5652,2014-06-02T06:04:17Z,5,Java,2848,false
pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle,5642,2013-10-08T18:27:11Z,1,Java,3084,false
nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,5637,2013-03-19T11:59:23Z,14,Java,3288,false
apache/zeppelin,https://github.com/apache/zeppelin,5612,2015-03-25T07:00:06Z,0,Java,2552,false
wxiaoqi/Spring-Cloud-Platform,https://github.com/wxiaoqi/Spring-Cloud-Platform,5610,2017-05-25T10:35:26Z,3,Java,1760,false
k0shk0sh/FastHub,https://github.com/k0shk0sh/FastHub,5601,2017-02-18T17:53:16Z,63,Java,1855,false
lets-blade/blade,https://github.com/lets-blade/blade,5597,2015-06-10T03:35:49Z,9,Java,2475,false
liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,5592,2016-06-18T17:58:56Z,0,Java,2100,false
amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,5577,2012-08-14T19:07:36Z,13,Java,3504,false
