nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed,cbo,dit,lcom*,loc
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,28325,2018-11-26T10:40:00Z,18,Java,1212,true,6.794498381877022,1,Not processed.,30783
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,27247,2016-11-05T05:32:33Z,0,Java,1963,true,4.725225225225225,1,0.11153753905405409,3116
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,26634,2017-12-17T09:06:50Z,0,Java,1556,true,1.962962962962963,1,Not processed.,4399
apolloconfig/apollo,https://github.com/apolloconfig/apollo,26474,2016-03-04T10:24:23Z,34,Java,2209,true,5.838737949167397,1,Not processed.,44378
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25710,2013-03-05T08:18:59Z,0,Java,3304,true,3.974264705882353,1,Not processed.,7712
alibaba/druid,https://github.com/alibaba/druid,25253,2011-11-03T05:12:51Z,43,Java,3792,true,4.880279169649248,2,Not processed.,310179
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25248,2017-10-25T10:07:27Z,49,Java,1609,true,5.516666666666667,1,Not processed.,3392
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,25228,2015-10-21T08:26:28Z,148,Java,2344,true,7.315243303884448,2,Not processed.,389191
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,25071,2017-11-10T06:27:29Z,0,Java,1593,true,5.049792531120332,1,Not processed.,7163
alibaba/fastjson,https://github.com/alibaba/fastjson,24206,2011-11-03T06:58:52Z,83,Java,3792,true,1.852132701421801,1,Not processed.,206651
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,24168,2018-09-14T04:36:24Z,0,Java,1285,true,4.13588850174216,1,Not processed.,8618
greenrobot/EventBus,https://github.com/greenrobot/EventBus,23872,2012-07-16T16:55:40Z,7,Java,3536,true,3.4262295081967213,1,Not processed.,5269
lenve/vhr,https://github.com/lenve/vhr,23587,2018-01-04T08:57:51Z,0,Java,1538,true,4.4361702127659575,1,Not processed.,2971
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23375,2017-06-02T09:52:50Z,10,Java,1754,true,6.286396181384248,1,Not processed.,19435
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,22986,2018-05-02T02:48:44Z,0,Java,1420,true,5.23015873015873,1,Not processed.,6025
alibaba/easyexcel,https://github.com/alibaba/easyexcel,22893,2018-02-06T03:14:08Z,1,Java,1505,true,6.721247563352827,2,Not processed.,18609
CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22691,2016-04-10T07:40:11Z,192,Java,2172,true,4.43312101910828,1,0.15331315382165606,3931
Netflix/Hystrix,https://github.com/Netflix/Hystrix,22481,2012-11-19T20:14:46Z,79,Java,3409,true,3.340648379052369,3,Not processed.,62010
alibaba/canal,https://github.com/alibaba/canal,22417,2013-01-13T10:59:52Z,22,Java,3355,true,5.58889934148636,1,Not processed.,109165
dromara/hutool,https://github.com/dromara/hutool,22203,2014-04-13T07:23:51Z,110,Java,2900,true,3.7216494845360826,2,Not processed.,102541
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,22164,2011-12-15T20:01:12Z,0,Java,3749,true,6.668185763888889,2,Not processed.,229700
seata/seata,https://github.com/seata/seata,21810,2018-12-28T08:37:22Z,31,Java,1180,true,7.366991938905389,1,Not processed.,175111
alibaba/nacos,https://github.com/alibaba/nacos,21748,2018-06-15T06:49:27Z,43,Java,1376,true,5.221149627029399,1,Not processed.,105847
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,21704,2017-12-01T20:49:15Z,27,Java,1571,true,5.92600422832981,1,Not processed.,14226
halo-dev/halo,https://github.com/halo-dev/halo,21641,2018-03-21T12:56:52Z,83,Java,1462,true,7.679626749611198,3,Not processed.,21521
apache/kafka,https://github.com/apache/kafka,21466,2011-08-15T18:06:16Z,0,Java,3872,true,7.045143884892086,1,Not processed.,379614
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,20952,2015-11-28T12:59:34Z,30,Java,2306,true,4.631901840490798,1,Not processed.,8609
google/gson,https://github.com/google/gson,20685,2015-03-19T18:21:20Z,3,Java,2560,true,2.797884841363102,1,Not processed.,29212
libgdx/libgdx,https://github.com/libgdx/libgdx,19767,2012-08-10T19:34:38Z,8,Java,3510,true,5.024577572964669,1,Not processed.,273731
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19618,2014-08-19T03:46:38Z,18,Java,2772,true,2.2037037037037037,1,Not processed.,1433
DrKLO/Telegram,https://github.com/DrKLO/Telegram,19490,2013-10-25T14:08:10Z,73,Java,3070,true,6.394378513429107,1,Not processed.,946027
google/ExoPlayer,https://github.com/google/ExoPlayer,19079,2014-06-13T21:19:18Z,18,Java,2838,true,7.643155100492985,5,Not processed.,213303
apache/skywalking,https://github.com/apache/skywalking,18938,2015-11-07T03:30:36Z,50,Java,2327,true,5.79078882900539,1,Not processed.,60671
alibaba/Sentinel,https://github.com/alibaba/Sentinel,18719,2018-04-04T06:37:33Z,19,Java,1448,true,4.310418143160879,2,Not processed.,51335
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,18612,2010-11-22T21:21:23Z,164,Java,4137,true,5.958538481471884,1,Not processed.,171979
redisson/redisson,https://github.com/redisson/redisson,18586,2014-01-11T14:06:25Z,106,Java,2992,true,5.85273368606702,2,Not processed.,126399
didi/DoraemonKit,https://github.com/didi/DoraemonKit,18554,2018-08-14T10:32:07Z,7,Java,1316,true,4.472584856396867,1,Not processed.,78375
apache/flink,https://github.com/apache/flink,18406,2014-06-07T07:00:10Z,0,Java,2845,true,6.804531986813004,3,Not processed.,1.091266e+06
bazelbuild/bazel,https://github.com/bazelbuild/bazel,18314,2014-06-12T16:00:38Z,143,Java,2840,true,7.23596208869814,1,Not processed.,587778
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,18197,2015-09-03T23:39:26Z,116,Java,2391,true,8.163064833005894,1,Not processed.,37015
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18154,2012-07-17T16:39:00Z,5,Java,3535,true,4.733333333333333,3,0.16322659733333333,1792
elunez/eladmin,https://github.com/elunez/eladmin,17738,2018-12-14T08:54:24Z,0,Java,1194,true,7.372822299651568,1,Not processed.,7924
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,17257,2016-11-13T12:34:31Z,32,Java,1955,true,5.511545293072825,1,Not processed.,28447
